"","pse1M2MAIPOOA100685.extra.kraken2.report","AJwcM2MAIPOOA100700.extra.kraken2.report","qU3SM2MAIPOOM070605.extra.kraken2.report","B7zTM2MAIPOOA070610.extra.kraken2.report","c5isM2MAIPOOA070615.extra.kraken2.report","TgLUM2MAIPOOM070620.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"1458307",2.18257865715856e-05,2.15821664898128e-05,1.53976890149557e-05,1.30648079799847e-05,1.83000615339569e-05,2.34826072866957e-05,"v_2158",49,3.47874486885132e-05,9364.17091259844
"1679497",0.000480167304574883,0.000406740830000318,0.000442787597619268,0.000502995107229411,0.000584458215240749,0.000573402574291498,"v_2192",49,2.32704256160845e-05,5980.98630272424
"1842727",0.000440484056262909,0.000480064857177246,0.00044403605889075,0.000548721935159358,0.000860102892095975,0.000702343436120263,"v_2319",49,2.24416517055655e-05,10701.8432976228
"2705547",1.38891369091908e-05,1.38347221088544e-05,8.32307514321932e-06,1.30648079799847e-05,1.22000410226379e-05,1.49434773642609e-05,"v_2478",49,3.56582513193553e-05,28805.2505253151
"2587845",5.95248724679607e-06,1.77084442993336e-05,2.03915341008873e-05,3.91944239399541e-05,1.486879999634e-05,9.81999941080004e-06,"v_2928",49,3.4494653328734e-05,1665.1063349247
"395631",1.98416241559869e-06,2.76694442177087e-06,1.66461502864386e-06,0,1.52500512782974e-06,3.41565196897393e-06,"v_3246",49,2.97486241261342e-05,9905.73912563537
"712898",1.98416241559869e-06,2.2135555374167e-06,3.74538381444869e-06,0,1.90625640978718e-06,1.28086948836522e-06,"v_3311",49,2.81968137600451e-05,3408.08274922767
"217",1.98416241559869e-06,1.38347221088544e-06,1.2484612714829e-06,0,2.66875897370205e-06,3.41565196897393e-06,"v_4011",49,3.01713734009172e-05,33793.9983102857
"869209",1.98416241559869e-06,6.64066661225009e-06,3.74538381444869e-06,6.53240398999236e-06,4.19376410153179e-06,2.98869547285218e-06,"v_4326",49,3.05829102697413e-05,6296.99874393472
"76887",1.98416241559869e-06,1.10677776870835e-06,2.08076878580483e-06,6.53240398999236e-06,2.28750769174461e-06,2.1347824806087e-06,"v_4467",49,2.74423710208562e-05,8853.03584501285
"73913",1.98416241559869e-06,5.53388884354174e-07,4.16153757160966e-07,0,1.52500512782974e-06,2.1347824806087e-06,"v_4612",49,2.49787680471599e-05,3878.5244601417
"948",0,1.66016665306252e-06,3.32923005728773e-06,0,1.90625640978718e-06,2.1347824806087e-06,"v_4800",49,2.82861426187311e-05,5098.7398207374
"41527",0,1.38347221088544e-06,1.66461502864386e-06,0,7.62502563914871e-07,8.53912992243481e-07,"v_4933",49,2.57506308904568e-05,6228.3667019527
"1265350",0,2.76694442177087e-07,0,0,3.81251281957436e-07,8.53912992243481e-07,"v_5022",49,2.16248945786389e-05,12130.6321034752
"2003370",0,1.38347221088544e-06,2.08076878580483e-06,0,1.52500512782974e-06,2.98869547285218e-06,"v_5153",49,2.83229954399977e-05,5673.65394302429
"380394",0,8.30083326531262e-07,0,0,3.81251281957436e-07,1.28086948836522e-06,"v_5261",49,2.45790832001966e-05,615.555217107828
"1138822",0,5.53388884354174e-07,1.2484612714829e-06,0,3.81251281957436e-07,1.70782598448696e-06,"v_5349",49,2.64179853644361e-05,9764.78056190798
"263510",0,5.25719440136466e-06,1.04038439290241e-05,0,3.81251281957436e-06,7.25826043406959e-06,"v_5466",49,3.31136792609027e-05,12296.9829118389
"2109",0,1.38347221088544e-06,0,0,3.81251281957436e-07,2.98869547285218e-06,"v_5490",49,2.55983617048509e-05,1446.84055139586
"295596",0,2.76694442177087e-06,1.2484612714829e-06,6.53240398999236e-06,1.52500512782974e-06,2.56173897673044e-06,"v_5503",49,2.71598902740433e-05,10944.1998058026
